Mutant;Buggy_rules;OCL;EXAM_BC;EXAM_WC;EXAM_AVG
27;4,5;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
27;4,5;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
27;4,5;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
27;4,5;15;0.3333333333333333;0.4444444444444444;0.38888888888888884
28;6,7;6;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;7;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;8;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;9;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;10;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;11;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;12;0.4444444444444444;0.7777777777777778;0.6111111111111112
28;6,7;13;0.4444444444444444;0.7777777777777778;0.6111111111111112
28;6,7;14;0.5555555555555556;0.8888888888888888;0.7222222222222222
28;6,7;15;0.5555555555555556;0.8888888888888888;0.7222222222222222
29;2,3;3;0.1111111111111111;0.1111111111111111;0.1111111111111111
29;2,3;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
29;2,3;5;0.8888888888888888;0.8888888888888888;0.8888888888888888
30;4,1;7;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;8;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;9;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;12;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;13;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;14;0.1111111111111111;0.1111111111111111;0.1111111111111111
30;4,1;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
31;6,1;1;0.1111111111111111;1.0;0.5555555555555556
31;6,1;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
32;2,5;3;0.1111111111111111;0.1111111111111111;0.1111111111111111
32;2,5;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
32;2,5;6;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;7;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;8;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;9;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;10;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;11;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
32;2,5;14;0.2222222222222222;0.2222222222222222;0.2222222222222222
33;3,4;5;0.2222222222222222;0.2222222222222222;0.2222222222222222
33;3,4;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
33;3,4;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
33;3,4;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
33;3,4;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
34;4,5;6;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;7;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;8;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;9;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;10;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;11;0.4444444444444444;0.8888888888888888;0.6666666666666666
34;4,5;12;0.3333333333333333;0.7777777777777778;0.5555555555555556
34;4,5;13;0.2222222222222222;0.2222222222222222;0.2222222222222222
34;4,5;14;0.4444444444444444;0.8888888888888888;0.6666666666666666
35;1,2;2;0.1111111111111111;1.0;0.5555555555555556
35;1,2;4;0.1111111111111111;0.1111111111111111;0.1111111111111111
35;1,2;15;0.1111111111111111;0.1111111111111111;0.1111111111111111
36;3,6;5;0.8888888888888888;0.8888888888888888;0.8888888888888888
36;3,6;15;0.3333333333333333;0.3333333333333333;0.3333333333333333
37;7,8;15;0.3333333333333333;0.3333333333333333;0.3333333333333333
38;4,6;6;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;7;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;8;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;9;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;10;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;11;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;12;0.2222222222222222;0.3333333333333333;0.2777777777777778
38;4,6;13;0.2222222222222222;0.3333333333333333;0.2777777777777778
38;4,6;14;0.3333333333333333;0.4444444444444444;0.38888888888888884
38;4,6;15;0.3333333333333333;0.4444444444444444;0.38888888888888884
39;1,4;1;0.1111111111111111;1.0;0.5555555555555556
39;1,4;6;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;7;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;8;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;9;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;10;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;11;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;12;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;13;0.1111111111111111;0.1111111111111111;0.1111111111111111
39;1,4;14;0.1111111111111111;0.1111111111111111;0.1111111111111111
40;2,3;4;0.2222222222222222;0.2222222222222222;0.2222222222222222
40;2,3;5;0.2222222222222222;0.2222222222222222;0.2222222222222222
